index,Price
0,880000.0
1,642000.0
2,845000.0
3,563900.0
4,1120166.6666666667
5,1023000.0
6,582000.0
7,1960000.0
8,1169333.3333333333
9,865666.6666666666
10,960666.6666666666
11,751666.6666666666
12,825000.0
13,800000.0
14,534333.3333333334
15,1606666.6666666667
16,636166.6666666666
17,1200833.3333333333
18,1831666.6666666667
19,860000.0
20,891666.6666666666
21,1496666.6666666667
22,868333.3333333334
23,904000.0
24,1449666.6666666667
25,742000.0
26,545500.0
27,539000.0
28,1093333.3333333333
29,1208333.3333333333
30,990000.0
31,1485000.0
32,500000.0
33,484000.0
34,708666.6666666666
35,545500.0
36,1488333.3333333333
37,1451666.6666666667
38,857000.0
39,1456000.0
40,599166.6666666666
41,1025166.6666666666
42,612000.0
43,503666.6666666667
44,1685333.3333333333
45,1218666.6666666667
46,984333.3333333334
47,895333.3333333334
48,821666.6666666666
49,1150666.6666666667
50,796666.6666666666
51,1104666.6666666667
52,545500.0
53,596666.6666666666
54,1068333.3333333333
55,848833.3333333334
56,1390000.0
57,1547333.3333333333
58,952500.0
59,1147000.0
60,817666.6666666666
61,1145000.0
62,1833333.3333333333
63,1035833.3333333334
64,1810000.0
65,1299629.3333333333
66,1018333.3333333334
67,564333.3333333334
68,1316666.6666666667
69,919000.0
70,1150000.0
71,1253333.3333333333
72,1458333.3333333333
73,1868666.6666666667
74,1496000.0
75,3088666.6666666665
76,636000.0
77,803333.3333333334
78,676000.0
79,2658333.3333333335
80,1408500.0
81,1893333.3333333333
82,746666.6666666666
83,2044166.6666666667
84,705000.0
85,1185000.0
86,1085000.0
87,1815000.0
88,750000.0
89,658333.3333333334
90,1224166.6666666667
91,1140000.0
92,1290000.0
93,1437000.0
94,1087666.6666666667
95,1576000.0
96,545500.0
97,1596666.6666666667
98,1348000.0
99,1190000.0
100,955666.6666666666
101,1118333.3333333333
102,934000.0
103,704666.6666666666
104,1182833.3333333333
105,1078333.3333333333
106,1851666.6666666667
107,1071333.3333333333
108,875000.0
109,1245266.6666666667
110,1074500.0
111,1493166.6666666667
112,679000.0
113,1314666.6666666667
114,1091666.6666666667
115,416666.6666666667
116,1388333.3333333333
117,1126166.6666666667
118,1162333.3333333333
119,1548333.3333333333
120,947000.0
121,626000.0
122,1559166.6666666667
123,1460333.3333333333
124,1176666.6666666667
125,1931666.6666666667
126,1913333.3333333333
127,522166.6666666667
128,958666.6666666666
129,988333.3333333334
130,962000.0
131,1212500.0
132,960333.3333333334
133,2658333.3333333335
134,1296666.6666666667
135,1525666.6666666667
136,1638333.3333333333
137,783833.3333333334
138,974000.0
139,823666.6666666666
140,866166.6666666666
141,531766.6666666666
142,877833.3333333334
143,1152000.0
144,1189000.0
145,2654000.0
146,1335833.3333333333
147,2173333.3333333335
148,1194833.3333333333
149,1863333.3333333333
150,694166.6666666666
151,1556666.6666666667
